t, x, y 
0.000000, 1.109271, 1.452213 
0.000250, 1.109271, 1.452213 
0.000500, 1.109271, 1.452213 
0.000750, 1.109271, 1.452213 
0.001000, 1.109271, 1.452213 
0.001250, 1.109271, 1.452213 
0.001500, 1.109271, 1.452213 
0.001750, 1.109271, 1.452213 
0.002000, 1.109271, 1.452213 
0.002250, 1.109272, 1.452213 
0.002500, 1.109272, 1.452213 
0.002750, 1.109272, 1.452213 
0.003000, 1.109272, 1.452213 
0.003250, 1.109272, 1.452213 
0.003500, 1.109272, 1.452213 
0.003750, 1.109272, 1.452213 
0.004000, 1.109272, 1.452213 
0.004250, 1.109272, 1.452213 
0.004500, 1.109272, 1.452213 
0.004750, 1.109272, 1.452213 
0.005000, 1.109272, 1.452213 
0.005250, 1.109273, 1.452213 
0.005500, 1.109273, 1.452213 
0.005750, 1.109273, 1.452213 
0.006000, 1.109273, 1.452213 
0.006250, 1.109273, 1.452213 
0.006500, 1.109274, 1.452213 
0.006750, 1.109274, 1.452213 
0.007000, 1.109274, 1.452213 
0.007250, 1.109274, 1.452213 
0.007500, 1.109275, 1.452213 
0.007750, 1.109275, 1.452213 
0.008000, 1.109275, 1.452213 
0.008250, 1.109276, 1.452213 
0.008500, 1.109276, 1.452213 
0.008750, 1.109277, 1.452213 
0.009000, 1.109277, 1.452213 
0.009250, 1.109278, 1.452213 
0.009500, 1.109278, 1.452213 
0.009750, 1.109279, 1.452213 
0.010000, 1.109279, 1.452213 
0.010250, 1.109280, 1.452214 
0.010500, 1.109280, 1.452214 
0.010750, 1.109281, 1.452214 
0.011000, 1.109281, 1.452214 
0.011250, 1.109282, 1.452214 
0.011500, 1.109283, 1.452214 
0.011750, 1.109284, 1.452214 
0.012000, 1.109284, 1.452214 
0.012250, 1.109285, 1.452214 
0.012500, 1.109286, 1.452214 
0.012750, 1.109287, 1.452214 
0.013000, 1.109288, 1.452214 
0.013250, 1.109289, 1.452214 
0.013500, 1.109289, 1.452214 
0.013750, 1.109291, 1.452214 
0.014000, 1.109291, 1.452214 
0.014250, 1.109293, 1.452215 
0.014500, 1.109293, 1.452215 
0.014750, 1.109295, 1.452215 
0.015000, 1.109296, 1.452215 
0.015250, 1.109297, 1.452215 
0.015500, 1.109298, 1.452215 
0.015750, 1.109299, 1.452215 
0.016000, 1.109300, 1.452215 
0.016250, 1.109302, 1.452216 
0.016500, 1.109303, 1.452216 
0.016750, 1.109304, 1.452216 
0.017000, 1.109306, 1.452216 
0.017250, 1.109307, 1.452216 
0.017500, 1.109308, 1.452216 
0.017750, 1.109310, 1.452217 
0.018000, 1.109311, 1.452217 
0.018250, 1.109313, 1.452217 
0.018500, 1.109315, 1.452217 
0.018750, 1.109317, 1.452218 
0.019000, 1.109318, 1.452218 
0.019250, 1.109320, 1.452218 
0.019500, 1.109321, 1.452218 
0.019750, 1.109323, 1.452219 
0.020000, 1.109325, 1.452219 
0.020250, 1.109327, 1.452219 
0.020500, 1.109329, 1.452219 
0.020750, 1.109331, 1.452220 
0.021000, 1.109332, 1.452220 
0.021250, 1.109335, 1.452220 
0.021500, 1.109336, 1.452221 
0.021750, 1.109339, 1.452221 
0.022000, 1.109341, 1.452222 
0.022250, 1.109343, 1.452222 
0.022500, 1.109345, 1.452222 
0.022750, 1.109347, 1.452223 
0.023000, 1.109349, 1.452223 
0.023250, 1.109352, 1.452224 
0.023500, 1.109354, 1.452224 
0.023750, 1.109357, 1.452225 
